Date,Year,Month,Week
1/2/2022 0:00,2022,January,2
1/3/2022 0:00,2022,January,2
1/4/2022 0:00,2022,January,2
1/5/2022 0:00,2022,January,2
1/6/2022 0:00,2022,January,2
1/7/2022 0:00,2022,January,2
1/8/2022 0:00,2022,January,2
1/9/2022 0:00,2022,January,3
1/10/2022 0:00,2022,January,3
1/11/2022 0:00,2022,January,3
1/12/2022 0:00,2022,January,3
1/13/2022 0:00,2022,January,3
1/14/2022 0:00,2022,January,3
1/15/2022 0:00,2022,January,3
1/16/2022 0:00,2022,January,4
1/17/2022 0:00,2022,January,4
1/18/2022 0:00,2022,January,4
1/19/2022 0:00,2022,January,4
1/20/2022 0:00,2022,January,4
1/21/2022 0:00,2022,January,4
1/22/2022 0:00,2022,January,4
1/23/2022 0:00,2022,January,5
1/24/2022 0:00,2022,January,5
1/25/2022 0:00,2022,January,5
1/26/2022 0:00,2022,January,5
1/27/2022 0:00,2022,January,5
1/28/2022 0:00,2022,January,5
1/29/2022 0:00,2022,January,5
1/30/2022 0:00,2022,January,6
1/31/2022 0:00,2022,January,6
2/1/2022 0:00,2022,February,6
2/2/2022 0:00,2022,February,6
2/3/2022 0:00,2022,February,6
2/4/2022 0:00,2022,February,6
2/5/2022 0:00,2022,February,6
2/6/2022 0:00,2022,February,7
2/7/2022 0:00,2022,February,7
2/8/2022 0:00,2022,February,7
2/9/2022 0:00,2022,February,7
2/10/2022 0:00,2022,February,7
2/11/2022 0:00,2022,February,7
2/12/2022 0:00,2022,February,7
2/13/2022 0:00,2022,February,8
2/14/2022 0:00,2022,February,8
2/15/2022 0:00,2022,February,8
2/16/2022 0:00,2022,February,8
2/17/2022 0:00,2022,February,8
2/18/2022 0:00,2022,February,8
2/19/2022 0:00,2022,February,8
2/20/2022 0:00,2022,February,9
2/21/2022 0:00,2022,February,9
2/22/2022 0:00,2022,February,9
2/23/2022 0:00,2022,February,9
2/24/2022 0:00,2022,February,9
2/25/2022 0:00,2022,February,9
2/26/2022 0:00,2022,February,9
2/27/2022 0:00,2022,February,10
2/28/2022 0:00,2022,February,10
3/1/2022 0:00,2022,March,10
3/2/2022 0:00,2022,March,10
3/3/2022 0:00,2022,March,10
3/4/2022 0:00,2022,March,10
3/5/2022 0:00,2022,March,10
3/6/2022 0:00,2022,March,11
3/7/2022 0:00,2022,March,11
3/8/2022 0:00,2022,March,11
3/9/2022 0:00,2022,March,11
3/10/2022 0:00,2022,March,11
3/11/2022 0:00,2022,March,11
3/12/2022 0:00,2022,March,11
3/13/2022 0:00,2022,March,12
3/14/2022 0:00,2022,March,12
3/15/2022 0:00,2022,March,12
3/16/2022 0:00,2022,March,12
3/17/2022 0:00,2022,March,12
3/18/2022 0:00,2022,March,12
3/19/2022 0:00,2022,March,12
3/20/2022 0:00,2022,March,13
3/21/2022 0:00,2022,March,13
3/22/2022 0:00,2022,March,13
3/23/2022 0:00,2022,March,13
3/24/2022 0:00,2022,March,13
3/25/2022 0:00,2022,March,13
3/26/2022 0:00,2022,March,13
3/27/2022 0:00,2022,March,14
3/28/2022 0:00,2022,March,14
3/29/2022 0:00,2022,March,14
3/30/2022 0:00,2022,March,14
3/31/2022 0:00,2022,March,14
4/1/2022 0:00,2022,April,14
4/2/2022 0:00,2022,April,14
4/3/2022 0:00,2022,April,15
4/4/2022 0:00,2022,April,15
4/5/2022 0:00,2022,April,15
4/6/2022 0:00,2022,April,15
4/7/2022 0:00,2022,April,15
4/8/2022 0:00,2022,April,15
4/9/2022 0:00,2022,April,15
4/10/2022 0:00,2022,April,16
4/11/2022 0:00,2022,April,16
4/12/2022 0:00,2022,April,16
4/13/2022 0:00,2022,April,16
4/14/2022 0:00,2022,April,16
4/15/2022 0:00,2022,April,16
4/16/2022 0:00,2022,April,16
4/17/2022 0:00,2022,April,17
4/18/2022 0:00,2022,April,17
4/19/2022 0:00,2022,April,17
4/20/2022 0:00,2022,April,17
4/21/2022 0:00,2022,April,17
4/22/2022 0:00,2022,April,17
4/23/2022 0:00,2022,April,17
4/24/2022 0:00,2022,April,18
4/25/2022 0:00,2022,April,18
4/26/2022 0:00,2022,April,18
4/27/2022 0:00,2022,April,18
4/28/2022 0:00,2022,April,18
4/29/2022 0:00,2022,April,18
4/30/2022 0:00,2022,April,18
5/1/2022 0:00,2022,May,19
5/2/2022 0:00,2022,May,19
5/3/2022 0:00,2022,May,19
5/4/2022 0:00,2022,May,19
5/5/2022 0:00,2022,May,19
5/6/2022 0:00,2022,May,19
5/7/2022 0:00,2022,May,19
5/8/2022 0:00,2022,May,20
5/9/2022 0:00,2022,May,20
5/10/2022 0:00,2022,May,20
5/11/2022 0:00,2022,May,20
5/12/2022 0:00,2022,May,20
5/13/2022 0:00,2022,May,20
5/14/2022 0:00,2022,May,20
5/15/2022 0:00,2022,May,21
5/16/2022 0:00,2022,May,21
5/17/2022 0:00,2022,May,21
